"특별법범",물환경보전법,소계,676,-,676
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,97,-,97
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,340,31,309
"특별법범",변호사법,소계,586,24,562
"특별법범",병역법,소계,1664,6,1658
"특별법범",보조금관리에관한법률,소계,2756,8,2748
"특별법범",부동산실권리자명의등기에관한법률,소계,1045,7,1038
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1211,9,1202
"특별법범",부정수표단속법,소계,663,2,661
"특별법범",사행행위등규제및처벌특례법,소계,433,15,418
"특별법범",산림자원의조성및관리에관한법률,소계,928,4,924
"특별법범",산업안전보건법,소계,5641,-,5641
"특별법범",산지관리법,소계,2785,-,2785
"특별법범",상표법,소계,3586,7,3579
"특별법범",석유및석유대체연료사업법,소계,711,8,703
"특별법범",선박안전법,소계,209,-,209
"특별법범",선박직원법,소계,219,-,219
"특별법범",성매매알선등행위의처벌에관한법률,소계,8836,143,8693
"특별법범",수도법,소계,195,-,195
"특별법범",수산업법,소계,1376,8,1368
"특별법범",수산자원관리법,소계,1154,12,1142
"특별법범",식품위생법,소계,8530,3,8527
"특별법범",신용정보의이용및보호에관한법률,소계,113,-,113
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,713,75,638
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,3000,159,2841
"특별법범",아동복지법,소계,7637,48,7589
"특별법범",액화석유가스의안전관리및사업법,소계,140,-,140
"특별법범",약사법,소계,2334,57,2277
"특별법범",여객자동차운수사업법,소계,1211,-,1211
"특별법범",여신전문금융업법,소계,1388,11,1377
"특별법범",영유아보육법,소계,276,-,276
"특별법범",예비군법,소계,1610,2,1608
"특별법범",옥외광고물등의관리와옥외광고산업진흥에관한법률,소계,172,1,171
"특별법범",외국환거래법,소계,492,9,483
"특별법범",위험물안전관리법,소계,768,-,768
"특별법범",유사수신행위의규제에관한법률,소계,2844,58,2786
"특별법범",의료기기법,소계,423,-,423
"특별법범",의료법,소계,6052,8,6044
"특별법범",자동차관리법,소계,24966,8,24958
"특별법범",자동차손해배상보장법,소계,19108,7,19101
"특별법범",자본시장과금융투자업에관한법률,소계,756,54,702
"특별법범",저작권법,소계,7212,4,7208
"특별법범",전자금융거래법,소계,15198,271,14927
"특별법범",전파법,소계,410,-,410
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,16229,49,16180
"특별법범",조세범처벌법,소계,4139,12,4127
"특별법범",주민등록법,소계,2600,1,2599
"특별법범",주차장법,소계,145,-,145
"특별법범",주택법,소계,1921,7,1914
"특별법범",직업안정법,소계,412,2,410
"특별법범",집회및시위에관한법률,소계,526,4,522
"특별법범",청소년보호법,소계,9711,1,9710
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,463,1,462
"특별법범",최저임금법,소계,462,-,462
"특별법범",축산물위생관리법,소계,342,-,342
"특별법범",출입국관리법,소계,3862,112,3750
"특별법범",통신비밀보호법,소계,367,2,365
"특별법범",특가법(도주차량),소계,9902,176,9726
"특별법범",특허법,소계,349,-,349
"특별법범",폐기물관리법,소계,2930,47,2883
"특별법범",풍속영업의규제에관한법률,소계,112,-,112
"특별법범",하천법,소계,277,-,277
"특별법범",학교보건법,소계,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,442,-,442
"특별법범",화물자동차운수사업법,소계,2301,-,2301
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,21,-,21
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,752,-,752
"특별법범",화학물질관리법,소계,929,48,881
"특별법범",기타특별법,소계,49502,408,49094
