"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,보복,보복,보복,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,소계,소계,신고·고소,수사협조,증언,기타,소계,소계,소계,소계,소계,소계,소계,소계
"형법범",과실범죄,과실치사상,2891,4,-,-,-,-,-,4,-,-,-,-,-,-,11,-,1,342,3,927,461,1142
"형법범",과실범죄,업무상과실치사상,5966,6,-,-,-,-,-,6,2,-,-,-,-,-,-,1,-,176,4,2453,1131,2193
"형법범",과실범죄,실화,2130,2,-,-,-,-,-,2,3,-,-,-,-,-,1,9,-,145,5,1379,370,216
"형법범",기타형법범죄,소계,121920,2662,641,24,13,6,16,1962,228,63,27,4,4,28,327,472,107,29095,1551,2655,27438,57322
"형법범",기타형법범죄,명예,37641,209,25,-,-,-,4,180,13,10,3,-,-,7,78,56,3,5565,439,748,8413,22107
"형법범",기타형법범죄,권리행사방해,10314,649,228,3,9,2,5,402,48,-,-,-,-,-,8,12,6,220,10,163,1614,7584
"형법범",기타형법범죄,신용업무경매,30595,718,117,6,1,2,-,592,49,12,7,-,-,5,37,31,14,10653,526,451,7296,10808
"형법범",기타형법범죄,주거침입,16127,322,66,6,2,-,2,246,38,6,4,-,-,2,159,356,53,5285,216,689,4260,4743
"형법범",기타형법범죄,비밀침해,161,4,-,-,-,-,1,3,-,-,-,-,-,-,1,2,-,2,1,3,29,119
"형법범",기타형법범죄,유기,257,2,-,-,-,-,1,1,-,-,-,-,-,-,5,-,-,49,-,19,67,115
"형법범",기타형법범죄,교통방해,1891,72,-,-,-,-,-,72,3,-,-,-,-,-,-,-,-,216,25,179,606,790
"형법범",기타형법범죄,공무방해,12901,233,47,-,1,-,2,183,61,8,1,-,-,7,29,10,8,6892,315,264,3537,1544
"형법범",기타형법범죄,도주와범인은닉,673,12,3,-,-,2,-,7,-,1,-,-,-,1,1,1,4,77,1,70,236,270
"형법범",기타형법범죄,위증과증거인멸,2982,25,3,-,-,-,-,22,1,4,-,-,2,2,-,-,1,18,1,27,326,2579
"형법범",기타형법범죄,무고,7580,70,8,1,-,-,-,61,5,22,12,4,2,4,8,2,-,105,14,35,839,6480
"형법범",기타형법범죄,공안을해하는죄,660,345,144,8,-,-,-,193,10,-,-,-,-,-,-,2,18,7,-,5,181,92
"형법범",기타형법범죄,내란의죄,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33
"형법범",기타형법범죄,음용수에관한죄,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,11,18
"형법범",기타형법범죄,일수와수리에관한죄,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,3
"형법범",기타형법범죄,기타,69,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,4,2,2,22,37
"특별법범",소계,소계,694972,38913,15587,178,40,66,176,22866,2834,53,18,1,4,30,1737,5492,2593,39375,1104,146478,173090,283303
"특별법범",가정폭력범죄의처벌등에관한특례법,소계,398,4,2,-,-,-,-,2,-,-,-,-,-,-,123,-,-,79,10,26,79,77
"특별법범",가축분뇨의관리및이용에관한법률,소계,1032,60,19,-,-,-,-,41,2,-,-,-,-,-,-,1,2,4,-,240,342,381
"특별법범",감염병의예방및관리에관한법률,소계,4030,363,152,-,-,-,2,209,22,-,-,-,-,-,1,4,12,159,27,845,2017,580
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,941,99,31,-,-,-,-,68,3,-,-,-,-,-,-,-,-,13,1,143,395,287
"특별법범",개인정보보호법,소계,3209,95,7,-,1,-,-,87,4,-,-,-,-,-,7,5,3,70,2,230,673,2120
"특별법범",건강기능식품에관한법률,소계,251,26,10,-,-,-,-,16,-,-,-,-,-,-,-,-,1,2,-,56,81,85
"특별법범",건설기계관리법,소계,415,33,12,-,-,-,-,21,2,-,-,-,-,-,-,2,2,9,-,100,194,73
"특별법범",건설산업기본법,소계,1377,158,16,-,-,-,-,142,12,-,-,-,-,-,-,-,4,11,-,112,526,554
"특별법범",건축법,소계,4224,297,30,-,-,1,-,266,15,-,-,-,-,-,-,-,-,38,2,931,1973,968
"특별법범",게임산업진흥에관한법률,소계,6180,1942,926,1,4,-,5,1006,330,-,-,-,-,-,-,9,12,52,-,663,2128,1044
"특별법범",결혼중개업의관리에관한법률,소계,123,19,7,-,-,-,-,12,-,-,-,-,-,-,-,-,-,4,-,15,42,43
"특별법범",경범죄처벌법,소계,6892,92,13,2,-,1,-,76,12,3,1,-,-,2,16,38,8,2764,283,271,2356,1049
"특별법범",고용보험법,소계,3175,406,350,1,-,2,-,53,1,-,-,-,-,-,-,-,-,6,-,28,120,2614
"특별법범",공유수면관리및매립에관한법률,소계,259,20,3,-,-,-,-,17,3,-,-,-,-,-,-,-,-,2,1,50,139,44
"특별법범",공유재산및물품관리법,소계,185,66,6,-,-,1,-,59,-,-,-,-,-,-,-,-,-,-,-,17,66,36
"특별법범",공인중개사법,소계,1610,165,22,-,-,-,-,143,14,-,-,-,-,-,-,-,-,22,-,148,509,752
"특별법범",공중위생관리법,소계,1807,643,390,-,1,-,1,251,8,-,-,-,-,-,-,2,-,4,-,167,557,426
"특별법범",공직선거법,소계,2327,57,1,-,-,2,-,54,5,1,1,-,-,-,1,3,1,112,44,73,705,1325
"특별법범",관세법,소계,933,147,129,-,-,-,1,17,6,-,-,-,-,-,-,-,-,-,-,-,4,776
"특별법범",교통사고처리특례법,소계,190641,57,10,-,-,1,-,46,22,-,-,-,-,-,4,128,34,2832,2,48110,19073,120379
"특별법범",국가기술자격법,소계,257,59,16,-,-,-,-,43,4,-,-,-,-,-,-,-,1,10,-,15,90,78
"특별법범",국가보안법,소계,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,16,30
"특별법범",국민체육진흥법,소계,641,186,42,-,6,2,-,136,151,-,-,-,-,-,-,34,9,12,-,13,181,55
"특별법범",국토의계획및이용에관한법률,소계,1796,128,22,-,-,-,1,105,5,-,-,-,-,-,-,-,-,25,1,426,794,417
"특별법범",근로기준법,소계,33173,194,35,-,-,-,4,155,-,2,1,-,-,1,-,-,-,10,1,78,1716,31172
"특별법범",근로자퇴직급여보장법,소계,6616,27,5,-,-,-,-,22,-,-,-,-,-,-,-,-,-,1,-,5,346,6237
"특별법범",낚시관리및육성법,소계,161,26,11,-,-,-,-,15,1,-,-,-,-,-,-,1,-,2,-,50,70,11
"특별법범",노동조합및노동관계조정법,소계,1058,3,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,3,46,1006
"특별법범",농수산물유통및가격안정에관한법률,소계,48,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,3,23,17
"특별법범",농수산물의원산지표시에관한법률,소계,2093,175,28,-,-,-,46,101,-,2,-,-,-,2,-,-,-,1,-,205,77,1633
"특별법범",농지법,소계,1729,309,27,2,-,-,-,280,40,-,-,-,-,-,-,-,1,3,-,182,753,441
"특별법범",대기환경보전법,소계,2529,156,31,-,-,-,1,124,1,-,-,-,-,-,-,-,-,14,-,448,648,1262
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,2142,770,314,2,1,-,1,452,55,1,1,-,-,-,-,2,-,27,-,84,753,450
"특별법범",도로교통법,소계,13458,123,87,1,-,14,-,21,14,-,-,-,-,-,7,152,22,1140,4,4644,4019,3333
"특별법범",도로교통법(무면허운전),소계,22666,138,80,1,-,1,-,56,62,-,-,-,-,-,7,1018,98,2876,2,8066,8602,1797
"특별법범",도로교통법(사고후미조치),소계,9520,11,1,1,-,-,-,9,22,-,-,-,-,-,1,24,1,622,-,3157,1980,3702
"특별법범",도로교통법(음주운전),소계,97709,97,5,-,-,1,-,91,114,1,1,-,-,-,60,80,286,15715,33,40176,38638,2509
"특별법범",도로교통법(음주측정거부),소계,3050,2,-,-,-,1,-,1,1,-,-,-,-,-,4,1,11,578,4,1088,1249,112
"특별법범",도로법,소계,2341,94,47,-,-,-,1,46,5,-,-,-,-,-,-,1,1,50,1,578,799,812
"특별법범",도시및주거환경정비법,소계,895,26,2,-,-,-,-,24,-,-,-,-,-,-,-,-,3,10,2,89,191,574
"특별법범",독점규제및공정거래에관한법률,소계,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,39
"특별법범",디자인보호법,소계,558,13,5,-,-,-,-,8,-,-,-,-,-,-,-,-,-,1,-,17,37,490
"특별법범",마약류관리에관한법률(대마),소계,2340,143,82,4,-,-,-,57,12,-,-,-,-,-,3,301,140,137,12,33,981,578
"특별법범",마약류관리에관한법률(마약),소계,2000,20,3,-,-,1,-,16,5,-,-,-,-,-,4,139,58,135,3,653,868,115
"특별법범",마약류관리에관한법률(향정),소계,8933,521,180,10,2,3,1,325,71,-,-,-,-,-,12,768,1033,795,140,276,3383,1934
"특별법범",물환경보전법,소계,676,21,11,-,-,-,-,10,1,-,-,-,-,-,-,-,-,6,-,122,172,354
"특별법범",배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,97,72,50,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,1,5,19
"특별법범",범죄수익은닉의규제및처벌등에관한법률,소계,340,13,-,-,-,-,-,13,1,-,-,-,-,-,-,-,-,-,-,-,19,307
"특별법범",변호사법,소계,586,58,14,-,-,-,-,44,3,-,-,-,-,-,-,-,-,2,-,13,119,391
"특별법범",병역법,소계,1664,43,15,-,-,-,-,28,2,-,-,-,-,-,5,-,1,49,23,356,936,249
"특별법범",보조금관리에관한법률,소계,2756,520,113,-,-,-,1,406,206,-,-,-,-,-,-,-,-,29,-,265,1196,540
"특별법범",부동산실권리자명의등기에관한법률,소계,1045,91,6,-,-,-,-,85,8,-,-,-,-,-,-,-,-,8,-,59,292,587
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1211,231,38,-,-,-,4,189,9,-,-,-,-,-,-,-,-,5,-,45,211,710
"특별법범",부정수표단속법,소계,663,64,22,-,-,-,-,42,1,-,-,-,-,-,-,-,1,5,-,32,193,367
"특별법범",사행행위등규제및처벌특례법,소계,433,199,103,-,-,-,-,96,76,-,-,-,-,-,-,-,1,11,-,9,109,28
"특별법범",산림자원의조성및관리에관한법률,소계,928,68,10,-,-,-,1,57,-,1,-,-,-,1,-,-,1,14,-,95,184,565
"특별법범",산업안전보건법,소계,5641,6,1,-,-,-,-,5,-,-,-,-,-,-,-,-,-,4,-,207,291,5133
