"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"강력범죄",기타 강간·강제추행등,237,58,10,11,14,12,8,4,2,3,-,-,1,1,-,-,2,-,3,1,9,3,-,2,1,-,-,1,1,1,3,1,-,2,-,-,-,-,-,1,1,2,3,-,1,5,2,2,1,1,-,1,2,1,2,1,-,-,-,4,1,1,-,2,-,2,-,-,2,1,1,1,1,-,-,2,2,1,-,1,2,1,2,2,3,2,1,22
"강력범죄",방화,1228,222,87,52,66,16,38,31,2,24,1,4,6,2,4,10,17,3,22,26,21,12,12,2,12,9,8,2,9,-,9,9,10,21,9,3,9,3,2,1,4,9,6,1,4,21,6,-,1,2,9,1,3,4,22,11,3,1,7,16,2,7,2,14,7,3,6,13,16,5,-,2,4,8,3,6,3,8,3,2,15,10,22,3,8,17,-,112
"절도범죄",소계,179517,38296,14189,8675,8991,4939,5259,3116,876,2174,127,1093,808,618,713,1186,1353,266,3550,3021,4868,1778,3007,789,1822,503,395,890,2587,238,1507,775,987,2058,414,823,1898,640,185,140,281,1150,945,75,373,3211,790,59,277,425,526,325,590,1201,2865,1019,216,207,1077,2196,358,408,414,1062,907,872,1020,892,1787,431,166,342,444,216,380,1963,833,2441,314,407,1340,2050,3902,478,1155,2270,24,9279
"폭력범죄",소계,265768,48308,19086,12278,17798,7360,8272,5523,873,4314,148,1650,1885,1075,1000,1860,2514,607,5084,4238,7016,3028,4819,1268,2750,1229,701,1342,3293,464,3099,1366,1941,4123,866,1130,3924,1290,470,381,718,1625,1340,244,625,4490,871,79,466,532,765,475,924,1869,3025,1531,426,345,1410,3075,538,729,465,1651,1480,1540,1361,1115,1797,874,306,369,1079,429,543,2400,1482,2761,481,652,1662,1896,5197,931,1344,3997,365,15116
"폭력범죄",상해,32904,3858,2935,1971,1594,822,867,944,139,337,15,169,146,111,86,203,291,65,433,535,513,275,417,149,290,93,87,137,250,42,226,111,177,523,131,75,371,212,75,61,122,276,252,59,127,591,125,20,117,127,161,102,157,267,381,219,72,57,158,413,115,148,85,193,265,283,178,223,281,90,72,91,167,93,88,429,292,424,132,140,253,303,866,237,295,458,13,3151
"폭력범죄",폭행,139361,27785,9975,6060,10460,4252,4659,2748,345,2432,75,915,1051,638,571,969,1157,313,2728,2199,3977,1517,2726,665,1423,695,325,686,1777,243,1952,712,1065,2166,439,657,2124,671,208,172,373,675,591,100,248,2257,361,23,156,187,311,158,401,878,1298,801,229,166,876,1631,245,348,188,860,707,674,706,508,748,458,125,133,525,172,233,1118,713,1377,158,313,796,928,2625,385,511,2068,32,6455
"폭력범죄",체포·감금,1209,215,78,50,105,30,32,37,3,23,2,5,11,3,1,7,17,5,11,16,30,11,20,2,11,8,6,9,18,3,16,5,10,24,4,-,16,6,4,-,2,2,9,1,4,27,2,-,2,-,3,3,2,11,32,11,2,2,4,14,1,4,2,10,5,5,6,6,3,1,2,1,10,1,5,10,7,15,2,1,10,6,17,1,5,14,7,65
"폭력범죄",협박,21214,3896,1406,925,1318,484,707,365,92,415,13,144,192,69,85,164,232,25,418,376,587,317,407,106,234,112,80,114,290,51,175,124,125,392,73,95,334,94,32,40,54,156,114,23,49,345,73,6,52,43,59,42,75,169,268,91,33,29,80,167,46,67,45,123,124,120,101,64,132,80,15,37,99,36,44,120,102,185,40,56,159,115,321,85,93,378,79,1312
"폭력범죄",약취·유인,210,53,11,2,13,4,5,5,1,12,-,-,-,2,1,-,2,1,7,2,4,2,6,-,1,1,-,-,1,2,1,-,6,3,1,1,3,-,-,-,2,-,-,-,1,5,2,-,1,1,-,-,-,3,2,1,-,-,3,-,-,3,-,1,-,-,-,-,-,1,-,-,1,1,-,2,2,1,-,-,-,1,5,1,2,4,4,7
"폭력범죄",폭력행위등,7398,1187,593,285,509,243,209,189,28,111,3,47,24,19,27,49,75,39,131,120,139,82,139,20,77,12,15,35,49,9,76,41,43,107,32,30,112,36,31,12,22,38,36,8,7,115,17,-,23,15,24,29,23,77,100,82,10,17,29,135,18,19,33,73,43,48,36,35,65,34,8,6,26,14,15,114,44,72,10,18,65,59,158,40,45,102,12,394
"폭력범죄",공갈,5281,879,354,181,426,90,161,80,24,89,2,18,26,8,15,40,56,12,111,60,141,46,78,13,55,15,19,31,67,12,48,14,31,58,7,28,101,13,5,6,4,19,34,3,10,139,19,1,16,10,11,8,20,19,73,36,8,5,18,83,7,14,9,28,42,27,14,17,70,25,2,9,21,14,8,32,32,70,7,11,31,90,128,14,20,63,208,312
"폭력범죄",손괴,58191,10435,3734,2804,3373,1435,1632,1155,241,895,38,352,435,225,214,428,684,147,1245,930,1625,778,1026,313,659,293,169,330,841,102,605,359,484,850,179,244,863,258,115,90,139,459,304,50,179,1011,272,29,99,149,196,133,246,445,871,290,72,69,242,632,106,126,103,363,294,383,320,262,498,185,82,92,230,98,150,575,290,617,132,113,348,394,1077,168,373,910,10,3420
"지능범죄",소계,424642,82443,36784,19812,24407,10777,12157,8561,1862,8093,308,1989,2750,1410,1441,3499,4071,828,8074,7584,10413,4465,6664,1265,3698,1420,771,1744,5602,801,3909,1646,3380,6161,1192,1835,5169,1324,297,530,665,2537,2066,281,760,6412,1559,157,633,1075,975,624,1153,1987,5992,2306,399,602,2225,5219,728,871,624,1866,1812,2592,1458,2652,3748,977,279,425,1001,532,667,4045,2215,5342,750,748,2524,2746,9151,1179,1451,4719,13860,18917
